1 1 1  1 16
1 1 1  2 22
1 1 1  3 28
1 1 1  4 34
1 1 1  5 40
1 1 1  6 46
1 1 1  7 52
1 1 1  8 58
1 1 1  9 64
1 1 1  10 70
1 1 1  11 76
1 1 1  12 82
1 1 1  13 88
1 1 1  14 94
1 1 1  15 100
1 1 1  16 106
1 1 1  17 112
1 1 1  18 118
1 1 1  19 124
1 1 2  1 19
1 1 2  2 25
1 1 2  3 31
1 1 2  4 37
1 1 2  5 43
1 1 2  6 49
1 1 2  7 55
1 1 2  8 61
1 1 2  9 67
1 1 2  10 73
1 1 2  11 79
1 1 2  12 85
1 1 2  13 91
1 1 2  14 97
1 1 2  15 103
1 1 2  16 109
1 1 2  17 115
1 1 2  18 121
1 1 2  19 127
1 1 3  1 22
1 1 3  2 28
1 1 3  3 34
1 1 3  4 40
1 1 3  5 46
1 1 3  6 52
1 1 3  7 58
1 1 3  8 64
1 1 3  9 70
1 1 3  10 76
1 1 3  11 82
1 1 3  12 88
1 1 3  13 94
1 1 3  14 100
1 1 3  15 106
1 1 3  16 112
1 1 3  17 118
1 1 3  18 124
1 1 3  19 130
1 1 4  1 25
1 1 4  2 31
1 1 4  3 37
1 1 4  4 43
1 1 4  5 49
1 1 4  6 55
1 1 4  7 61
1 1 4  8 67
1 1 4  9 73
1 1 4  10 79
1 1 4  11 85
1 1 4  12 91
1 1 4  13 97
1 1 4  14 103
1 1 4  15 109
1 1 4  16 115
1 1 4  17 121
1 1 4  18 127
1 1 4  19 133
1 1 5  1 28
1 1 5  2 34
1 1 5  3 40
1 1 5  4 46
1 1 5  5 52
1 1 5  6 58
1 1 5  7 64
1 1 5  8 70
1 1 5  9 76
1 1 5  10 82
1 1 5  11 88
1 1 5  12 94
1 1 5  13 100
1 1 5  14 106
1 1 5  15 112
1 1 5  16 118
1 1 5  17 124
1 1 5  18 130
1 1 5  19 136
1 1 6  1 31
1 1 6  2 37
1 1 6  3 43
1 1 6  4 49
1 1 6  5 55
1 1 6  6 61
1 1 6  7 67
1 1 6  8 73
1 1 6  9 79
1 1 6  10 85
1 1 6  11 91
1 1 6  12 97
1 1 6  13 103
1 1 6  14 109
1 1 6  15 115
1 1 6  16 121
1 1 6  17 127
1 1 6  18 133
1 1 6  19 139
1 1 7  1 34
1 1 7  2 40
1 1 7  3 46
1 1 7  4 52
1 1 7  5 58
1 1 7  6 64
1 1 7  7 70
1 1 7  8 76
1 1 7  9 82
1 1 7  10 88
1 1 7  11 94
1 1 7  12 100
1 1 7  13 106
1 1 7  14 112
1 1 7  15 118
1 1 7  16 124
1 1 7  17 130
1 1 7  18 136
1 1 7  19 142
1 1 8  1 37
1 1 8  2 43
1 1 8  3 49
1 1 8  4 55
1 1 8  5 61
1 1 8  6 67
1 1 8  7 73
1 1 8  8 79
1 1 8  9 85
1 1 8  10 91
1 1 8  11 97
1 1 8  12 103
1 1 8  13 109
1 1 8  14 115
1 1 8  15 121
1 1 8  16 127
1 1 8  17 133
1 1 8  18 139
1 1 8  19 145
1 1 9  1 40
1 1 9  2 46
1 1 9  3 52
1 1 9  4 58
1 1 9  5 64
1 1 9  6 70
1 1 9  7 76
1 1 9  8 82
1 1 9  9 88
1 1 9  10 94
1 1 9  11 100
1 1 9  12 106
1 1 9  13 112
1 1 9  14 118
1 1 9  15 124
1 1 9  16 130
1 1 9  17 136
1 1 9  18 142
1 1 9  19 148
1 1 10  1 43
1 1 10  2 49
1 1 10  3 55
1 1 10  4 61
1 1 10  5 67
1 1 10  6 73
1 1 10  7 79
1 1 10  8 85
1 1 10  9 91
1 1 10  10 97
1 1 10  11 103
1 1 10  12 109
1 1 10  13 115
1 1 10  14 121
1 1 10  15 127
1 1 10  16 133
1 1 10  17 139
1 1 10  18 145
1 1 10  19 151
1 1 11  1 46
1 1 11  2 52
1 1 11  3 58
1 1 11  4 64
1 1 11  5 70
1 1 11  6 76
1 1 11  7 82
1 1 11  8 88
1 1 11  9 94
1 1 11  10 100
1 1 11  11 106
1 1 11  12 112
1 1 11  13 118
1 1 11  14 124
1 1 11  15 130
1 1 11  16 136
1 1 11  17 142
1 1 11  18 148
1 1 11  19 154
1 1 12  1 49
1 1 12  2 55
1 1 12  3 61
1 1 12  4 67
1 1 12  5 73
1 1 12  6 79
1 1 12  7 85
1 1 12  8 91
1 1 12  9 97
1 1 12  10 103
1 1 12  11 109
1 1 12  12 115
1 1 12  13 121
1 1 12  14 127
1 1 12  15 133
1 1 12  16 139
1 1 12  17 145
1 1 12  18 151
1 1 12  19 157
1 1 13  1 52
1 1 13  2 58
1 1 13  3 64
1 1 13  4 70
1 1 13  5 76
1 1 13  6 82
1 1 13  7 88
1 1 13  8 94
1 1 13  9 100
1 1 13  10 106
1 1 13  11 112
1 1 13  12 118
1 1 13  13 124
1 1 13  14 130
1 1 13  15 136
1 1 13  16 142
1 1 13  17 148
1 1 13  18 154
1 1 13  19 160
1 1 14  1 55
1 1 14  2 61
1 1 14  3 67
1 1 14  4 73
1 1 14  5 79
1 1 14  6 85
1 1 14  7 91
1 1 14  8 97
1 1 14  9 103
1 1 14  10 109
1 1 14  11 115
1 1 14  12 121
1 1 14  13 127
1 1 14  14 133
1 1 14  15 139
1 1 14  16 145
1 1 14  17 151
1 1 14  18 157
1 1 14  19 163
1 1 15  1 58
1 1 15  2 64
1 1 15  3 70
1 1 15  4 76
1 1 15  5 82
1 1 15  6 88
1 1 15  7 94
1 1 15  8 100
1 1 15  9 106
1 1 15  10 112
1 1 15  11 118
1 1 15  12 124
1 1 15  13 130
1 1 15  14 136
1 1 15  15 142
1 1 15  16 148
1 1 15  17 154
1 1 15  18 160
1 1 15  19 166
1 1 16  1 61
1 1 16  2 67
1 1 16  3 73
1 1 16  4 79
1 1 16  5 85
1 1 16  6 91
1 1 16  7 97
1 1 16  8 103
1 1 16  9 109
1 1 16  10 115
1 1 16  11 121
1 1 16  12 127
1 1 16  13 133
1 1 16  14 139
1 1 16  15 145
1 1 16  16 151
1 1 16  17 157
1 1 16  18 163
1 1 16  19 169
1 1 17  1 64
1 1 17  2 70
1 1 17  3 76
1 1 17  4 82
1 1 17  5 88
1 1 17  6 94
1 1 17  7 100
1 1 17  8 106
1 1 17  9 112
1 1 17  10 118
1 1 17  11 124
1 1 17  12 130
1 1 17  13 136
1 1 17  14 142
1 1 17  15 148
1 1 17  16 154
1 1 17  17 160
1 1 17  18 166
1 1 17  19 172
1 1 18  1 67
1 1 18  2 73
1 1 18  3 79
1 1 18  4 85
1 1 18  5 91
1 1 18  6 97
1 1 18  7 103
1 1 18  8 109
1 1 18  9 115
1 1 18  10 121
1 1 18  11 127
1 1 18  12 133
1 1 18  13 139
1 1 18  14 145
1 1 18  15 151
1 1 18  16 157
1 1 18  17 163
1 1 18  18 169
1 1 18  19 175
1 1 19  1 70
1 1 19  2 76
1 1 19  3 82
1 1 19  4 88
1 1 19  5 94
1 1 19  6 100
1 1 19  7 106
1 1 19  8 112
1 1 19  9 118
1 1 19  10 124
1 1 19  11 130
1 1 19  12 136
1 1 19  13 142
1 1 19  14 148
1 1 19  15 154
1 1 19  16 160
1 1 19  17 166
1 1 19  18 172
1 1 19  19 178
1 2 1  1 18
1 2 1  2 24
1 2 1  3 30
1 2 1  4 36
1 2 1  5 42
1 2 1  6 48
1 2 1  7 54
1 2 1  8 60
1 2 1  9 66
1 2 1  10 72
1 2 1  11 78
1 2 1  12 84
1 2 1  13 90
1 2 1  14 96
1 2 1  15 102
1 2 1  16 108
1 2 1  17 114
1 2 1  18 120
1 2 1  19 126
1 2 2  1 21
1 2 2  2 27
1 2 2  3 33
1 2 2  4 39
1 2 2  5 45
1 2 2  6 51
1 2 2  7 57
1 2 2  8 63
1 2 2  9 69
1 2 2  10 75
1 2 2  11 81
1 2 2  12 87
1 2 2  13 93
1 2 2  14 99
1 2 2  15 105
1 2 2  16 111
1 2 2  17 117
1 2 2  18 123
1 2 2  19 129
1 2 3  1 24
1 2 3  2 30
1 2 3  3 36
1 2 3  4 42
1 2 3  5 48
1 2 3  6 54
1 2 3  7 60
1 2 3  8 66
1 2 3  9 72
1 2 3  10 78
1 2 3  11 84
1 2 3  12 90
1 2 3  13 96
1 2 3  14 102
1 2 3  15 108
1 2 3  16 114
1 2 3  17 120
1 2 3  18 126
1 2 3  19 132
1 2 4  1 27
1 2 4  2 33
1 2 4  3 39
1 2 4  4 45
1 2 4  5 51
1 2 4  6 57
1 2 4  7 63
1 2 4  8 69
1 2 4  9 75
1 2 4  10 81
1 2 4  11 87
1 2 4  12 93
1 2 4  13 99
1 2 4  14 105
1 2 4  15 111
1 2 4  16 117
1 2 4  17 123
1 2 4  18 129
1 2 4  19 135
1 2 5  1 30
1 2 5  2 36
1 2 5  3 42
1 2 5  4 48
1 2 5  5 54
1 2 5  6 60
1 2 5  7 66
1 2 5  8 72
1 2 5  9 78
1 2 5  10 84
1 2 5  11 90
1 2 5  12 96
1 2 5  13 102
1 2 5  14 108
1 2 5  15 114
1 2 5  16 120
1 2 5  17 126
1 2 5  18 132
1 2 5  19 138
1 2 6  1 33
1 2 6  2 39
1 2 6  3 45
1 2 6  4 51
1 2 6  5 57
1 2 6  6 63
1 2 6  7 69
1 2 6  8 75
1 2 6  9 81
1 2 6  10 87
1 2 6  11 93
1 2 6  12 99
1 2 6  13 105
1 2 6  14 111
1 2 6  15 117
1 2 6  16 123
1 2 6  17 129
1 2 6  18 135
1 2 6  19 141
1 2 7  1 36
1 2 7  2 42
1 2 7  3 48
